City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
42,ulsteinvik,62.3432,5.8487,278.88,53,0,5.81,NO,1698592592
43,turpan,42.9333,89.1667,288.61,38,80,0.75,CN,1698592593
44,aykhal,66.0,111.5,254.42,93,100,5.62,RU,1698592594
45,edinburgh of the seven seas,-37.0676,-12.3116,284.37,65,22,10.26,SH,1698592594
46,keflavik,64.0049,-22.5624,280.1,65,0,1.03,IS,1698592595
47,shizuishan,39.2333,106.7694,286.21,29,0,1.39,CN,1698592595
48,merowe,18.4833,31.8167,309.83,15,8,3.56,SD,1698592304
49,sao joao da ponte,-15.9292,-44.0078,308.49,25,46,3.55,BR,1698592596
50,fisterra,42.9049,-9.2629,287.45,65,91,9.24,ES,1698592597
51,polyarnyy,69.1989,33.4478,266.12,90,100,1.3,RU,1698592597
52,bredasdorp,-34.5322,20.0403,288.82,53,3,10.12,ZA,1698592598
53,iqaluit,63.7506,-68.5145,265.0,67,75,4.63,CA,1698592599
54,stanley,54.868,-1.6985,282.48,95,75,2.06,GB,1698592599
55,sidney,-33.8679,151.2073,291.32,77,1,3.6,AU,1698592372
56,sorong,-0.8833,131.25,298.94,88,47,3.05,ID,1698592600
57,tinajo,29.0788,-13.7081,298.64,69,20,5.14,ES,1698592601
58,yellowknife,62.456,-114.3525,267.27,90,75,1.54,CA,1698592601
59,ceeldheer,3.8488,47.1806,298.84,83,100,5.57,SO,1698592602
60,sirte,31.2089,16.5887,298.51,59,9,5.35,LY,1698592603
